Journal du panier alt - top 15 par capitalisation, a chaque date
Une ligne par changement de composition.

2019-01-01  ada, bch, bnb, bnb_eth, bsv, dash, etc, ltc, mkr, neo, xem, xlm, xmr, xrp, zec
2019-01-03  ada, bch, bnb, bnb_eth, bsv, dash, etc, link, ltc, mkr, neo, xem, xlm, xmr, xrp
2019-03-06  ada, bch, bnb, bnb_eth, bsv, dash, etc, ht, link, ltc, mkr, neo, xlm, xmr, xrp
2019-03-20  ada, bch, bnb, bnb_eth, bsv, cro, dash, etc, ht, ltc, mkr, neo, xlm, xmr, xrp
2019-03-21  ada, bch, bnb, bnb_eth, bsv, cro, dash, ht, ltc, mkr, neo, xlm, xmr, xrp, xtz
2019-03-22  ada, bch, bnb, bnb_eth, bsv, cro, dash, etc, ht, ltc, mkr, neo, xlm, xmr, xrp
2019-03-28  ada, bch, bnb, bnb_eth, bsv, cro, dash, ht, ltc, mkr, neo, xlm, xmr, xrp, xtz
2019-04-04  ada, bch, bnb, bnb_eth, bsv, cro, dash, ht, ltc, mkr, neo, xem, xlm, xmr, xrp
2019-04-05  ada, bch, bnb, bnb_eth, bsv, cro, dash, ht, ltc, mkr, neo, xlm, xmr, xrp, xtz
2019-04-06  ada, bch, bnb, bnb_eth, bsv, cro, dash, etc, ht, ltc, mkr, neo, xlm, xmr, xrp
2019-04-12  ada, bch, bnb, bnb_eth, bsv, cro, dash, etc, ht, ltc, neo, xlm, xmr, xrp, xtz
2019-04-21  ada, bat, bch, bnb, bnb_eth, bsv, cro, dash, ht, ltc, neo, xlm, xmr, xrp, xtz
2019-04-22  ada, bch, bnb, bnb_eth, bsv, cro, dash, etc, ht, ltc, neo, xlm, xmr, xrp, xtz
2019-04-23  ada, bat, bch, bsv, cro, dash, etc, ht, ltc, mkr, neo, xlm, xmr, xrp, xtz
2019-04-25  ada, bat, bch, bsv, cro, dash, etc, ht, ltc, neo, xem, xlm, xmr, xrp, xtz
2019-04-28  ada, bat, bch, bsv, cro, dash, etc, ht, ltc, mkr, neo, xlm, xmr, xrp, xtz
2019-05-05  ada, bat, bch, bsv, cro, dash, etc, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2019-05-06  ada, bch, bsv, cro, dash, etc, ht, link, ltc, mkr, neo, xlm, xmr, xrp, xtz
2019-05-10  ada, bat, bch, bsv, cro, dash, etc, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2019-05-11  ada, bch, bsv, cro, dash, etc, ht, link, ltc, mkr, neo, xlm, xmr, xrp, xtz
2019-05-15  ada, bch, bsv, cro, dash, etc, ht, link, ltc, neo, xem, xlm, xmr, xrp, xtz
2019-05-22  ada, bch, bsv, cro, dash, etc, ht, leo_eth, link, ltc, neo, xlm, xmr, xrp, xtz
2019-06-22  ada, algo, bch, bsv, cro, dash, etc, ht, leo_eth, link, ltc, neo, xlm, xmr, xrp
2019-07-03  ada, algo, bch, bsv, cro, dash, ht, leo_eth, link, ltc, neo, xlm, xmr, xrp, xtz
2019-07-04  ada, algo, bch, bsv, cro, dash, etc, ht, leo_eth, link, ltc, neo, xlm, xmr, xrp
2019-07-05  ada, algo, bch, bsv, cro, dash, ht, leo_eth, link, ltc, neo, xlm, xmr, xrp, xtz
2019-07-06  ada, algo, bch, bsv, cro, dash, etc, ht, leo_eth, link, ltc, neo, xlm, xmr, xrp
2019-07-14  ada, algo, bch, bsv, cro, dash, ht, leo_eth, link, ltc, neo, xlm, xmr, xrp, xtz
2019-08-22  ada, algo, bch, bsv, cro, dash, etc, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2019-08-28  ada, algo, bch, bsv, cro, dash, ht, leo_eth, link, ltc, neo, xlm, xmr, xrp, xtz
2019-09-02  ada, algo, bch, bsv, cro, etc, ht, leo_eth, link, ltc, neo, xlm, xmr, xrp, xtz
2019-09-04  ada, algo, bch, bsv, cro, dash, etc, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2019-09-16  ada, algo, bch, bsv, cro, dash, ht, leo_eth, link, ltc, neo, xlm, xmr, xrp, xtz
2019-09-18  ada, algo, bch, bsv, cro, dash, etc, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2019-09-19  ada, algo, bch, bsv, cro, dash, ht, leo_eth, link, ltc, neo, xlm, xmr, xrp, xtz
2019-11-02  ada, algo, bch, bsv, cro, dash, hedg, ht, leo_eth, link, ltc, neo, xlm, xmr, xrp
2019-11-05  ada, algo, bch, bsv, cro, dash, hedg, ht, link, ltc, neo, xlm, xmr, xrp, xtz
